uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS
65,2.0,46548.7,397.85213675213674,117.0,1385.6000000000001,1385.6000000000001,1385.6000000000001,1.0,1385.6000000000001,1385.6000000000001,4.0,346.40000000000003,4.0,1097.5,1091.95,0.03418803418803419,0.02976667447211201,4.0,0.0,1.0,0.0,0.0,96.76394619423725,387.055784776949,,,387.055784776949,
67,2.0,82989.9,368.844,225.0,2303.5,1752.65,1168.4333333333334,3.0,3505.2999999999997,1752.65,6.0,292.1083333333333,12.0,1957.9,1113.8583333333333,0.05333333333333334,0.0422376698851306,4.0,1.0,1.5,0.3333333333333333,0.2852822868228112,92.11485404941608,1013.2633945435769,260.60253740130776,260.60253740130776,337.75446484785897,417.2
70,7.0,81622.4,485.847619047619,168.0,5655.3,5655.3,5655.3,1.0,5655.3,5655.3,4.0,1413.825,4.0,-7.349999999999998,-14.9875,0.023809523809523808,0.06928612733759361,4.0,0.0,1.0,0.0,0.0,23.082872140127854,92.33148856051142,,,92.33148856051142,
71,6.0,83967.6,390.54697674418605,215.0,1836.9,1561.2,1561.2,2.0,3122.4,1561.2,4.0,390.3,8.0,1509.8000000000002,941.48125,0.037209302325581395,0.03718577165478113,4.0,0.0,1.0,0.0,0.0,82.75398383186428,662.0318706549142,,,331.0159353274571,
72,1.0,49715.2,421.3152542372881,118.0,1185.0,1185.0,1185.0,1.0,1185.0,1185.0,4.0,296.25,4.0,825.85,822.6375,0.03389830508474576,0.023835768537590115,4.0,0.0,1.0,0.0,0.0,101.84646259758551,407.38585039034206,,,407.38585039034206,
73,8.0,62327.1,342.4565934065934,182.0,1703.0,1703.0,1703.0,1.0,1703.0,1703.0,4.0,425.75,4.0,857.35,851.45,0.02197802197802198,0.02732358797377064,4.0,1.0,1.0,1.0,0.5871990604815032,62.91904870757161,188.75714612271483,68.21951700210136,68.21951700210136,188.75714612271483,116.8
74,2.0,61205.1,375.4914110429448,163.0,1903.1000000000001,1903.1000000000001,1903.1000000000001,1.0,1903.1000000000001,1903.1000000000001,5.0,380.62,5.0,1712.9,1690.73,0.03067484662576687,0.03109381407758504,5.0,2.0,1.0,2.0,1.0509169250170773,87.70029110603305,263.10087331809916,119.30357462700229,238.60714925400458,263.10087331809916,333.8
76,1.0,38259.4,298.9015625,128.0,3438.8,3438.8,1719.4,2.0,3438.8,3438.8,9.0,382.0888888888889,9.0,740.1,610.8611111111111,0.0703125,0.08988117952712275,4.5,2.0,2.0,1.0,0.5815982319413748,70.52290695460097,493.66034868220675,75.94753196785865,151.8950639357173,246.83017434110337,475.65
77,4.0,72303.2,382.55661375661373,189.0,217.0,217.0,217.0,1.0,217.0,217.0,1.0,217.0,1.0,354.4,354.4,0.005291005291005291,0.0030012502904435768,1.0,1.0,1.0,1.0,4.608294930875576,,,15.048006512492002,15.048006512492002,,217.0
80,5.0,57167.2,436.39083969465645,131.0,1886.4,1733.3333333333333,1733.3333333333333,3.0,5200.0,1733.3333333333333,4.0,433.3333333333333,12.0,770.3499999999999,518.9541666666667,0.0916030534351145,0.0909612505072839,4.0,1.0,1.0,0.3333333333333333,0.19230769230769232,78.2752621585554,861.0278837441094,138.75097296956153,138.75097296956153,287.00929458136983,367.2
