uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS,mean_rows_per_RS,session_count_unique_words,mean_len_RS_in_idx,sum_len_RS_in_idx,ratio_sum_len_RS_in_idx_per_reading_dur,mean_len_REG_in_idx,n_unique_words_read,n_words_read,ratio_n_unique_words_per_n_words,unique_words_per_sec,words_per_sec
26,21,505330.1,361.46645207439195,1398,28903.6,10706.116666666667,1386.4035971223022,139,192710.1,10706.116666666667,30.944444444444443,345.9786355475763,557,2655.85,1028.7851885098744,0.39842632331902716,0.38135488070075385,4.0071942446043165,28,7.722222222222222,0.2014388489208633,0.14529596528671823,108.90317491721184,57609.779531205066,192.18988402594871,5381.316752726564,414.4588455482379,499.0173913043478,1.4028776978417266,459,6.345323741007194,882,4.576822906531624,4.464285714285714,882,1021,0.8638589618021547,4.576822906531625,5.298113591347833
27,11,110318.0,391.1985815602837,282,7020.5,3325.7833333333333,997.735,20,19954.7,3325.7833333333333,10.0,332.5783333333333,60,2371.95,800.5375,0.2127659574468085,0.18088344603781795,3.0,3,3.3333333333333335,0.15,0.1503405212807008,111.32867404414392,6345.7344205162035,116.62221272786458,349.86663818359375,317.28672102581015,484.93333333333334,1.1153846153846154,49,4.05,81,4.0591940745789215,1.3333333333333333,99,101,0.9801980198019802,4.961237202263126,5.0614642164502595
28,5,88214.3,469.225,188,37757.1,10853.975,1808.9958333333334,24,43415.9,10853.975,22.0,493.3625,88,1111.1,714.7232954545455,0.46808510638297873,0.49216396888032893,3.6666666666666665,5,6.0,0.20833333333333334,0.11516518141971029,105.83667159879026,8784.443742699592,228.53665771484376,1142.6832885742188,366.01848927914966,527.7,1.375,72,5.916666666666667,142,3.270691152319772,5.4,142,166,0.8554216867469879,3.270691152319772,3.823484023134381
29,15,613126.0,382.24812967581045,1604,69276.9,23876.8,1600.6793296089384,179,286521.6,23876.8,61.0,391.4229508196721,732,3496.25,1138.525068306011,0.456359102244389,0.467312754637709,4.089385474860335,49,14.916666666666666,0.2737430167597765,0.17101677500055842,100.57551678204314,68693.07796213546,191.51710204535203,9384.33800022225,383.76021207896906,337.37631578947367,1.5515151515151515,545,5.581005586592179,999,3.4866481270522014,3.7755102040816326,973,1178,0.8259762308998302,3.3959045321539465,4.111382876544037
32,10,209274.1,414.4041584158416,505,39597.6,9025.75,1761.121951219512,41,72206.0,9025.75,20.25,445.71604938271605,162,2257.75,779.200925925926,0.3207920792079208,0.34503075153590435,3.951219512195122,13,5.125,0.3170731707317073,0.18004043985264384,90.64364832145623,13505.903599896978,218.2881216694522,2837.7455817028786,329.4122829243165,500.77500000000003,1.7575757575757576,102,5.317073170731708,218,3.0191396836827966,2.923076923076923,197,259,0.7606177606177607,2.7283051269977565,3.586959532448827
33,22,216500.5,423.68003913894324,511,19831.4,4821.092857142858,1406.1520833333334,48,67495.3,4821.092857142858,11.142857142857142,432.6621794871795,156,2545.05,830.4871794871794,0.30528375733855184,0.31175586199569977,3.25,7,3.4285714285714284,0.14583333333333334,0.10371092505700397,100.75917732281866,15013.11742109998,162.71020546843587,1138.9714382790512,312.77327960624956,431.15000000000003,1.1379310344827587,142,5.416666666666667,260,3.8521200735458616,3.0,297,308,0.9642857142857143,4.400306391704311,4.563280702508174
34,10,780184.4,468.5792192192192,1665,236374.5,41771.825000000004,2025.300606060606,165,334174.6,41771.825000000004,80.0,522.1478125,640,2286.65,1409.5515625,0.3843843843843844,0.42832771329444674,3.878787878787879,49,20.625,0.296969696969697,0.14662993536911545,105.08156801933947,62103.206699429626,234.3838336909996,11484.80785085898,376.3830709056341,605.2763157894736,2.6904761904761907,342,5.303030303030303,875,2.6183917030199186,3.4285714285714284,511,1040,0.4913461538461538,1.5291407545636324,3.11214556701796
35,23,406497.3,471.028157589803,863,36257.7,9994.016666666666,1873.878125,96,179892.3,9994.016666666666,20.666666666666668,483.5814516129032,372,2841.95,939.5733870967741,0.43105446118192353,0.4425424227910001,3.875,22,5.333333333333333,0.22916666666666666,0.12229539563394322,109.45668295603028,38309.839034610595,173.66858676863666,3820.7089089100064,399.0608232771937,465.98499999999996,1.236842105263158,309,6.125,588,3.2686223923981186,3.409090909090909,627,684,0.9166666666666666,3.485418775567381,3.802275027891689
36,6,339416.9,430.18618504436,789,87958.5,44640.875,1822.0765306122448,98,178563.5,44640.875,102.25,436.58557457212714,409,1953.7,851.0349633251833,0.5183776932826363,0.5260890073534935,4.173469387755102,20,24.5,0.20408163265306123,0.11200497302080212,118.65083318540655,46155.17410912315,240.52502034040486,4810.500406808097,470.97116437880766,344.4,2.193548387096774,278,6.438775510204081,631,3.533756898806307,4.65,480,729,0.6584362139917695,2.6881193524992506,4.082581266608237
37,20,511936.2,467.52164383561643,1095,69882.0,13979.153333333332,1872.2080357142859,112,209687.3,13979.153333333332,29.933333333333334,467.00957683741643,449,2496.05,842.5943207126949,0.4100456621004566,0.4095965473822714,4.008928571428571,46,7.466666666666667,0.4107142857142857,0.219374277793648,102.64141606751338,41364.49067520789,186.7762381218492,8591.706953605062,369.32580960007044,480.19354838709677,1.4907407407407407,326,5.803571428571429,650,3.099853925345026,3.3260869565217392,587,762,0.7703412073490814,2.799406544888508,3.633982601712169
38,10,831207.7,493.0057532621589,1686,183478.8,54476.700000000004,2559.3080536912753,149,381336.9,54476.700000000004,107.57142857142857,506.42350597609567,753,1782.4,770.4057104913678,0.44661921708185054,0.4587745036529378,5.053691275167785,44,21.285714285714285,0.2953020134228188,0.115383536185457,90.10689703396838,63885.789997083586,206.324503126889,9078.278137583116,428.76369125559455,480.84166666666664,2.488372093023256,468,6.966442953020135,1038,2.7220025127387357,4.590909090909091,763,1187,0.6427969671440606,2.0008554115796295,3.112733123912215
39,3,69439.1,472.37482993197284,147,12169.2,12169.2,1738.457142857143,7,12169.2,12169.2,23.0,529.0956521739131,23,963.75,841.5500000000001,0.1564625850340136,0.1752499672374786,3.2857142857142856,2,7.0,0.2857142857142857,0.16434934095914275,80.17075201742696,1683.5857923659662,211.8416748046875,423.683349609375,240.5122560522809,717.8,2.6666666666666665,9,3.142857142857143,22,1.80784275055057,2.5,13,29,0.4482758620689655,1.0682707162344278,2.3830654439075696
40,13,404332.0,395.2414467253177,1023,78894.0,19721.96,1460.885925925926,135,197219.6,19721.96,50.4,391.30873015873016,504,3560.6,1353.3607142857143,0.49266862170087977,0.4877664889249429,3.7333333333333334,34,13.5,0.2518518518518518,0.17239665834430248,98.19889576340087,46153.48100879841,217.4357453412913,7392.815341603904,341.87763710221043,400.68,1.4916666666666667,402,5.488888888888889,741,3.7572330539155336,4.088235294117647,726,876,0.8287671232876712,3.6811757046459883,4.441749197341441
41,5,157334.5,382.80900243309003,411,29997.8,9385.8,1104.2117647058822,34,37543.2,9385.8,28.25,332.24070796460177,113,1257.9499999999998,838.7061946902655,0.2749391727493917,0.23862026446837786,3.323529411764706,5,8.5,0.14705882352941177,0.13317991007692473,115.381901382012,12461.245349257297,350.57667236328126,1752.8833618164062,366.50721615462635,353.86,1.88,86,5.323529411764706,181,4.821112744784675,7.6,154,215,0.7162790697674418,4.101941230369281,5.726736133307763
42,17,260394.5,422.71834415584414,616,40432.0,13193.5625,1649.1953125,64,105548.5,13193.5625,30.75,429.0589430894309,246,1961.75,898.7410569105691,0.39935064935064934,0.40534074260401043,3.84375,21,8.0,0.328125,0.19896066737092427,100.34286330456173,22577.14424352639,154.87741867263017,3252.4257921252333,352.7678788050998,461.04615384615386,1.5833333333333333,189,5.671875,363,3.4391772502688336,2.5714285714285716,342,427,0.8009367681498829,3.2402165828979093,4.0455335698754595
44,25,842972.3,432.2934871794872,1950,123561.0,17425.878260869566,1559.5143968871596,257,400795.2,17425.878260869566,40.73913043478261,427.7430096051227,937,2752.05,1032.8679295624333,0.4805128205128205,0.4754547687984528,3.6459143968871595,57,11.173913043478262,0.22178988326848248,0.14221727206313847,105.33254396330759,92692.63868771067,222.50190307689627,12682.608475383087,360.6717458665785,486.144,1.3775933609958506,791,5.840466926070039,1501,3.7450548309959797,4.526315789473684,1535,1758,0.873151308304892,3.8298861862617115,4.386280075210482
45,9,254605.2,358.0945147679325,711,37567.5,17518.714285714286,1318.6129032258063,93,122631.0,17518.714285714286,48.857142857142854,358.5701754385965,342,1627.2,917.026754385965,0.4810126582278481,0.4816515923476818,3.6774193548387095,12,13.285714285714286,0.12903225806451613,0.09785453922743842,92.77192842421178,30614.73637998989,204.90026357844786,2458.8031629413745,329.19071376333216,337.25,1.6,276,5.989247311827957,557,4.542081529140266,4.166666666666667,498,650,0.7661538461538462,4.060963377938694,5.300454208152914
46,22,384079.3,493.67519280205653,778,28244.4,8124.053333333333,1904.075,64,121860.8,8124.053333333333,14.666666666666666,553.9127272727272,220,3511.5,807.1361363636364,0.2827763496143959,0.31728031164397563,3.4375,13,4.266666666666667,0.203125,0.10667909614904875,126.19358714367566,26122.07253874086,411.33080339018255,5347.3004440723735,408.15738341782594,604.3199999999999,1.1285714285714286,179,4.921875,315,2.584916560534643,4.769230769230769,349,379,0.920844327176781,2.863923427386001,3.110105956960729
47,22,841333.5,442.8071052631579,1900,48710.6,17091.600000000002,1570.5794594594595,185,290557.2,17091.600000000002,38.1764705882353,447.6998459167951,649,3290.7,886.4653312788906,0.34157894736842104,0.3453531803975475,3.5081081081081082,41,10.882352941176471,0.22162162162162163,0.1411081879918997,97.92153211021939,59536.29152301339,196.520959398693,8057.359335346414,321.8177920162886,451.6361111111111,1.6285714285714286,505,5.4,999,3.4382214586318973,4.146341463414634,929,1184,0.7846283783783784,3.197305040109142,4.074929136156323
48,9,852929.5,356.4268700376097,2393,333540.2,61318.7875,1592.6957792207793,308,490550.3,61318.7875,172.25,355.98715529753264,1378,2570.7,957.4290275761973,0.5758462181362307,0.575135811341969,4.474025974025974,89,38.5,0.288961038961039,0.18142889730166306,111.77871729870921,144082.76659803616,206.44815986101688,18373.8862276305,467.80119025336415,376.01076923076926,3.700854700854701,643,6.775974025974026,2087,4.2544057153772,3.707865168539326,987,2395,0.41210855949895614,2.0120260858060837,4.882272011657113
50,4,97005.0,436.9594594594595,222,16360.0,9803.025,1568.484,25,39212.1,9803.025,22.5,435.69,90,2425.0,1345.3488888888887,0.40540540540540543,0.40422761713313743,3.6,4,6.25,0.16,0.10200932875311447,102.21905918604075,8790.839089999505,145.36883987552864,581.4753595021145,351.63356359998016,388.15,1.125,81,5.8,145,3.6978381673003997,2.75,159,170,0.9352941176470588,4.0548708179363,4.335396472007366
52,7,182398.9,364.0696606786427,501,70585.6,25909.4,1524.0823529411766,68,103637.6,25909.4,72.0,359.8527777777778,288,1837.1,1015.8928819444445,0.5748502994011976,0.5681920230878585,4.235294117647059,30,17.0,0.4411764705882353,0.2894702308814562,113.91974842752911,29391.29509430251,175.2338751869896,5257.0162556096875,432.22492785738984,333.8608695652174,1.5892857142857142,231,6.470588235294118,440,4.245563386261357,3.433333333333333,416,508,0.8188976377952756,4.013987201556192,4.901695909592657
53,5,100868.5,408.3744939271255,247,28713.5,14665.4,1466.54,20,29330.8,14665.4,32.5,451.2430769230769,65,2902.0,1647.82,0.2631578947368421,0.29078255352265575,3.25,0,10.0,0.0,0.0,115.75526420883364,7524.092173574187,,,376.20460867870935,,1.6428571428571428,53,6.35,127,4.329919402130184,,106,147,0.7210884353741497,3.6139484773685004,5.0117964733317875
54,14,421532.8,540.4266666666666,780,65786.4,17691.71,2106.1559523809524,84,176917.1,17691.71,30.7,576.2771986970685,307,3450.1,1248.5980456026057,0.3935897435897436,0.41969948720479167,3.6547619047619047,24,8.4,0.2857142857142857,0.13565675675217376,105.73053529385912,29921.74148816213,177.93597080742484,4270.463299378196,356.21120819240633,603.1466666666668,1.1956521739130435,242,5.2023809523809526,437,2.470083445862497,3.4583333333333335,477,521,0.9155470249520153,2.6961780404494533,2.9448820944951053
55,16,524113.3,454.56487424111015,1153,84401.4,16962.614285714284,1733.4058394160584,137,237476.6,16962.614285714284,38.142857142857146,444.712734082397,534,3789.15,1086.07031835206,0.46313963573287076,0.45310164805968484,3.897810218978102,29,9.785714285714286,0.2116788321167883,0.12211729492505788,122.49985813435487,61862.42835784921,191.1258100836787,5542.6484924266815,451.55057195510375,644.7333333333333,1.2582781456953642,477,6.372262773722627,873,3.676151671364673,4.655172413793103,953,1010,0.9435643564356435,4.013026967709661,4.2530506163554636
57,15,648740.1,478.42190265486727,1356,86997.9,23078.938461538462,2013.5986577181209,149,300026.2,23078.938461538462,45.0,512.8652991452992,585,3642.8,1508.6846153846154,0.4314159292035398,0.4624751884460357,3.9261744966442955,39,11.461538461538462,0.26174496644295303,0.12998864765810453,107.48115540831566,58684.71085294035,245.10042074039853,9558.916408875542,393.8571198183916,484.72666666666663,1.6111111111111112,415,5.563758389261745,829,2.763092023296632,3.948717948717949,771,978,0.7883435582822086,2.569775572933297,3.259715318195544
58,21,382058.6,490.4474967907573,779,31981.0,8127.323529411765,1664.632530120482,83,138164.5,8127.323529411765,16.470588235294116,493.44464285714287,280,3925.25,1084.0957142857142,0.3594351732991014,0.3616316973364819,3.3734939759036147,15,4.882352941176471,0.18072289156626506,0.10856623807128458,104.9138524075844,27802.170888009867,219.0201916077359,3285.3028741160388,334.9659143133719,582.9769230769231,1.1595744680851063,235,4.9397590361445785,410,2.9674771739484456,4.133333333333334,464,493,0.9411764705882353,3.35831563100507,3.5682103579428865
59,3,551018.1,393.30342612419696,1401,301178.8,150906.55,1840.3237804878047,164,301813.1,150906.55,383.5,393.49817470664925,767,1631.1,1131.3112559756628,0.5474660956459672,0.5477371795953708,4.676829268292683,91,82.0,0.5548780487804879,0.30151110074413606,88.48760845233254,59817.62331377679,191.9974358527215,17471.766662597656,364.7416055718097,382.0679245283019,7.521739130434782,231,6.804878048780488,1116,3.697652620114899,4.648351648351649,299,1280,0.23359375,0.990679331016447,4.241035263214221
60,9,168052.3,403.0031175059952,417,32366.9,7912.185714285714,1384.6325000000002,40,55385.3,7912.185714285714,18.714285714285715,422.78854961832064,131,2189.2,927.1496183206108,0.31414868105515587,0.32957180591994284,3.275,12,5.714285714285714,0.3,0.21666398845903154,77.95972748606658,9277.207570841923,141.329241030262,1695.9508923631442,231.93018927104808,293.77000000000004,1.3235294117647058,114,4.55,182,3.286070491628645,3.3333333333333335,201,222,0.9054054054054054,3.629121806688778,4.0082837864920835
