uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS
42,8.0,308222.3,504.4554828150573,611.0,27228.8,10950.949999999999,2305.463157894737,19.0,43803.8,10950.949999999999,21.5,509.34651162790703,86.0,1670.25,764.010465116279,0.1407528641571195,0.14211755606262105,4.526315789473684,4.0,4.75,0.21052631578947367,0.09131627849638616,89.96142911047075,7376.837187058602,150.84028692201736,603.3611476880694,388.25458879255797,406.3
44,19.0,828532.0,435.382028376248,1903.0,36807.8,7504.200000000001,1951.092,50.0,97554.6,7504.200000000001,17.846153846153847,420.4939655172414,232.0,2688.25,1122.7674568965517,0.12191276931161324,0.11774391333104818,4.64,8.0,3.8461538461538463,0.16,0.08200535905021393,89.33124214093802,20010.198239570116,244.28701634241003,1954.2961307392802,400.2039647914023,515.4375
45,7.0,338930.9,364.8341227125942,929.0,20248.4,11165.166666666666,1762.921052631579,38.0,66991.0,11165.166666666666,32.666666666666664,341.7908163265306,196.0,1916.6,932.2948979591836,0.2109795479009688,0.1976538580577929,5.157894736842105,17.0,6.333333333333333,0.4473684210526316,0.25376543117732236,87.17009454405337,15603.446923385553,227.08987630265483,3860.527897145132,410.6170242996198,396.43636363636364
46,10.0,170304.8,430.0626262626262,396.0,9148.1,4597.5199999999995,2089.781818181818,11.0,22987.6,4597.5199999999995,10.6,433.72830188679245,53.0,1033.4,652.843396226415,0.13383838383838384,0.13497916676453042,4.818181818181818,3.0,2.2,0.2727272727272727,0.13050514190259097,80.35734801651573,4017.8674008257867,227.64774321282877,682.9432296384863,365.26067280234423,425.75
47,11.0,774025.1,445.8669930875576,1736.0,19697.8,10069.866666666667,2157.8285714285716,42.0,90628.8,10069.866666666667,22.11111111111111,455.4211055276382,199.0,2726.7,908.0020100502512,0.11463133640552996,0.11708767583893598,4.738095238095238,17.0,4.666666666666667,0.40476190476190477,0.18757834154264427,89.07324283231158,16211.330195480708,156.93762317019204,2667.939593893265,385.9840522733502,395.45384615384614
48,6.0,867862.3,350.7931689571544,2474.0,124995.9,34907.066666666666,1598.7969465648855,131.0,209442.4,34907.066666666666,105.33333333333333,331.39620253164554,632.0,1988.0,937.2453322784811,0.25545675020210185,0.2413313724999922,4.824427480916031,35.0,21.833333333333332,0.26717557251908397,0.16711038452576937,82.49352390603451,49248.633771902605,152.66673386937404,5343.335685428092,375.94376925116495,374.5642857142857
49,2.0,99694.1,321.59387096774196,310.0,1552.5,1552.5,1552.5,1.0,1552.5,1552.5,5.0,310.5,5.0,1318.65,1295.9,0.016129032258064516,0.015572636695651999,5.0,0.0,1.0,0.0,0.0,64.32760808315975,321.63804041579874,,,321.63804041579874,
50,4.0,114850.2,411.6494623655914,279.0,4122.5,2520.6666666666665,1890.5,4.0,7562.0,2520.6666666666665,7.0,360.0952380952381,21.0,1697.95,1268.9714285714285,0.07526881720430108,0.06584228847664175,5.25,2.0,1.3333333333333333,0.5,0.2644802962179318,90.11589453532787,1712.2019961712294,270.3075809306424,540.6151618612848,428.0504990428074,208.65
52,2.0,151714.0,353.64568764568764,429.0,17707.3,17099.85,1799.984210526316,19.0,34199.7,17099.85,46.0,371.73586956521734,92.0,1762.0,868.9989130434782,0.21445221445221446,0.22542217593630118,4.842105263157895,12.0,9.5,0.631578947368421,0.35088027087956913,97.58114375300414,7806.491500240331,153.41855091590452,1841.0226109908542,410.86797369685956,403.6636363636364
53,4.0,115683.1,396.175,292.0,11067.9,11067.9,1844.6500000000003,6.0,11067.9,11067.9,29.0,381.651724137931,29.0,1688.8000000000002,1485.2844827586207,0.09931506849315068,0.0956743033338491,4.833333333333333,0.0,6.0,0.0,0.0,101.94036919422098,2956.2707066324083,,,492.7117844387347,
54,8.0,466203.0,526.7830508474576,885.0,12252.4,7855.9,2805.6785714285716,14.0,39279.5,7855.9,12.8,613.7421875,64.0,1521.45,1151.27890625,0.07231638418079096,0.08425406957913184,4.571428571428571,4.0,2.8,0.2857142857142857,0.10183429015135122,78.01729354485697,4681.037612691418,159.05171773826453,636.2068709530581,334.35982947795844,863.85
